"ID","Name","Location","Phone","Email"
"640","Alan Keck","Somerset, KY","606-679-6366","akeck@cityofsomerset.com"
"641","LaToya Cantrell","New Orleans, LA","504-658-4994","mayor@nola.gov"
"642","Sharon Weston Broome","Baton Rouge, LA","225-389-5100","mayor@brla.gov"
"643","Adrian Perkins","Shreveport, LA","318-673-5050","mayor@shreveportla.gov"
"644","Josh Guillory","Lafayette, LA","337-291-8300","mayorpresidentsoffice@lafayettela.gov"
"645","Nicholas 'Nic' Hunter","Lake Charles, LA","337-491-1388","mayorsactionline@cityoflc.us"
"646","Lorenz 'Lo' J. Walker","Bossier City, LA","318-741-8501","mayorsoffice@bossiercity.org"
"647","Ben Zahn","Kenner, LA","504-468-7206","kennermayor@kenner.la.us"
"648","James 'Jamie' E. Mayo","Monroe, LA","318-329-2310","james.mayo@ci.monroe.la.us"
"649","Jeffrey W. Hall","Alexandria, LA","318-449-5000","jeffrey.hall@cityofalex.com"
"650","Gordon 'Gordy' E. Dove","Terrebonne, LA","985-873-6401","tpcgpresident@tpcg.org"
"651","Freddie DeCourt","New Iberia, LA","337-369-2300","fdecourt@cityofnewiberia.com"
"652","Jennifer Vidrine","Ville Platte, LA","337-831-0831","jennifervidrine@hotmail.com"
"653","Rodney Grogan","Patterson, LA","985-395-5205","rgrogan@cityofpattersonla.gov"
"654","Leslie Draper III","Simmesport, LA","318-941-2493","mayordraper@simmesportla.com"
"655","Kate Snyder","Portland, ME","207-874-8941","ksnyder@portlandmaine.gov"
"656","Mark A. Cayer","Lewiston, ME","207-807-1637","mcayer@lewistonmaine.gov"
"657","Sarah Nichols","Bangor, ME","207-944-0907","sarah.nichols@bangormaine.gov"
"658","David Rollins","Augusta, ME","207-626-2300","david.rollins@augustamaine.gov"
"659","Bernard 'Jack' C. Young","Baltimore, MD","410-387-1847","mayor@baltimorecity.gov"
"660","Michael O'Connor","Frederick, MD","301-600-1385","moconnor@cityoffrederick.com"
"661","Jud Ashman","Gaithersburg, MD","301-258-6300","jashman@gaithersburgmd.gov"
"662","Bridget Donnell Newton","Rockville, MD","240-314-8291","bnewton@rockvillemd.gov"
"663","Tim Adams","Bowie, MD","301-262-6200","tadams@cityofbowie.org"
"664","Robert E. Bruchey II","Hagerstown, MD","301-766-4175","mayor@hagerstownmd.org"
"665","Gavin Buckley","Annapolis, MD","410-263-7997","mayorbuckley@annapolis.gov"
"666","Jacob R. Day","Salisbury, MD","410-548-3100","jday@salisbury.md"
"667","Patrick L. Wojahn","College Park, MD","240-988-7763","pwojahn@collegeparkmd.gov"
"668","Craig A. Moe","Laurel, MD","301-725-5300","laurelmayor@laurel.md.us"
"669","Emmett V. Jordan","Greenbelt, MD","301-474-8000","ejordan@greenbeltmd.gov"
"670","Candace B Hollingsworth","Hyattsville, MD","","chollingsworth@hyattsville.org"
"671","Kate Stewart","Takoma Park, MD","",""
"672","Edward Estes","Glenarden, MD","","eestes@cityofglenarden.org"
"673","Shawn Maldon","Capitol Heights, MD","301-336-0626","mayor@capitolheightsmd.com"
"674","Jeffrey Z. Slavin","Somerset, MD","301-657-2229","mayor@townofsomerset.com"
"675","Martin J. Walsh","Boston, MA","617-635-3174","mayor@boston.gov"
"676","Joseph M. Petty","Worcester, MA","508-799-1153","mayor@worcesterma.gov"
"677","Domenic J. Sarno","Springfield, MA","413-787-6100","msarno@springfieldcityhall.com"
"678","Sumbul Siddiqui","Cambridge, MA","617-349-4321","ssiddiqui@cambridgema.gov"
"679","John Leahy","Lowell, MA","978-970-4040","mayor@lowellma.gov"
"680","Robert F. Sullivan","Brockton, MA","508-580-7123","rsullivan@cobma.us"
"681","Jon Mitchell","New Bedford, MA","508-979-1410","jon.mitchell@newbedford-ma.gov"
"682","Thomas M. McGee","Lynn, MA","781-598-4000","thomas.mcgee@lynnma.gov"
"683","Thomas P. Koch","Quincy, MA","617-376-1990","mayorkoch@quincyma.gov"
"684","Paul Coogan","Fall River, MA","508-324-2600","mayor@fallriverma.org"
"685","Ruthanne Fuller","Newton, MA","617-796-1100","rfuller@newtonma.gov"
"686","Joseph A. Curtatone","Somerville, MA","617-625-6600x2100","mayor@somervillema.gov"
"687","Daniel Rivera","Lawrence, MA","978-620-3013","mayorrivera@cityoflawrence.com"
"688","Yvonne M. Spicer","Framingham, MA","508-532-5400","mayorspicer@framinghamma.gov"
"689","James J. Fiorentini","Haverhill, MA","978-374-2300","mayor@cityofhaverhill.com"
"690","Jeannette A. McCarthy","Waltham, MA","781-314-3101","mayor@city.waltham.ma.us"
"691","Gary Christenson","Malden, MA","781-397-7000","mayor@cityofmalden.org"
"692","Bernard Greene","Brookline, MA","857-225-0402","bgreene@brooklinema.gov"
"693","Breanna Lungo-Koehn","Medford, MA","781-393-2409","mayor@medford-ma.gov"
"694","Robert L. Hedlund","Weymouth, MA","781-340-5012","rhedlund@weymouth.ma.us"
"695","Shaunna O'Connell","Taunton, MA","508-821-1000","soconnell@taunton-ma.gov"
"696","Kenneth A. Tavares","Plymouth, MA","508-747-1620","townmanager-selectmen@townhall.plymouth.ma.us"
"697","John L. Vieau","Chicopee, MA","413-594-1500","mayorvieau@chicopeema.gov"
"698","Brian M. Arrigo","Revere, MA","781-286-8100","barrigo@revere.org"
"699","Edward A. Bettencourt Jr.","Peabody, MA","978-538-5700","edward.bettencourt@peabody-ma.gov"
"700","Neil Perry","Methuen, MA","978-983-8505",""
"701","Carlo DeMaria Jr.","Everett, MA","617-394-2270","mayorcarlo.demaria@ci.everett.ma.us"
"702","James H. Crocker Jr.","Barnstable, MA","508-428-8800","wiannore@verizon.net"
"703","Paul Heroux","Attleboro, MA","508-223-2222 ext. 3221","paulheroux@cityofattleboro.us"
"704","Kimberly Driscoll","Salem, MA","978-619-5600","mayor@salem.com"
"705","Diane M. Mahon","Arlington, MA","781-646-9038","dmahon@town.arlington.ma.us"
"706","Linda Tyer","Pittsfield, MA","413-499-9321","mayorsoffice@pittsfieldch.com"
"707","Michael P. Cahill","Beverly, MA","978-605-2333","mayorcahill@beverlyma.gov"
"708","Dean J. Mazzarella","Leominster, MA","978-534-7500","dmazzarella@leominster-ma.gov"
"709","Donald F. Humason Jr.","Westfield, MA","413-572-6201","mayor@cityofwestfield.org"
"710","Stephen L. DiNatale","Fitchburg, MA","978-829-1801","mayor@fitchburgma.gov"
"711","Scott D. Galvin","Woburn, MA","781-897-5901","sgalvin@cityofwoburn.com"
"712","Alex B. Morse","Holyoke, MA","413-322-5510","morsea@holyoke.org"
"713","Ed Giroux","Billerica, MA","978-294-9743","egiroux@town.billerica.ma.us"
"714","Arthur G. Vigeant","Marlborough, MA","508-460-3770","mayor@marlborough-ma.gov"
"715","Lynn Griesemer","Amherst, MA","413-259-3001","griesemerl@amherstma.gov"
"716","Charles C. Kokoros","Braintree, MA","781-794-8100","mayorsoffice@braintreema.gov"
"717","Maurice M. DePalo","Shrewsbury, MA","508-841-8504","mdepalo@shrewsburyma.gov"
"718","Damali Vidot","Chelsea, MA","617-466-4062","damalividot@chelseama.gov"
"719","Stanley M. Mickelson","Dartmouth, MA","508-910-1813","smickelson@town.dartmouth.ma.us"
"720","Kenneth LeFebvre","Chelmsford, MA","978-761-0154","klefebvre@townofchelmsford.us"
"721","Laura M. Gregory","Andover, MA","978-623-8200","laura.gregory@andoverma.us"
"722","Michael J. Hickey Jr.","Natick, MA","508-647-6410","selectmen@natickma.org"
"723","Tom Mercer","Franklin, MA","508-528-9084","tmercer@franklinma.gov"
"724","Jason Adams","Randolph, MA","781-961-0918","jadams@randolph-ma.gov"
"725","Mark S. Sideris","Watertown, MA","617-924-2699","msideris@watertown-ma.gov"
"726","Megan English Braga","Falmouth, MA","508-495-7320","megan.english-braga@falmouthma.gov"
"727","Douglas M. Lucente","Lexington, MA","781-862-0500 x208","selectmen@ci.lexington.ma.us"
"728","David J. Narkewicz","Northampton, MA","","mayor@northamptonma.gov"
"729","Sefatia Romeo Theken","Gloucester, MA","978-281-9700","sromeotheken@gloucester-ma.gov"
"730","William C. Reichelt","West Springfield, MA","413-263-3041","wreichelt@townofwestspringfield.org"
"731","William Sapelli","Agawam, MA","","mayor@agawam.ma.us"
"732","Paul Brodeur","Melrose, MA","781-979-4440","pbrodeur@cityofmelrose.org"
"733","Mark P Hawke","Gardner, MA","","mayor@gardner-ma.gov"
"734","William Martin","Greenfield, MA","","mayor@greenfield-ma.gov"
"735","Ken Gray","Amesbury, MA","","mayorgray@amesburyma.gov"
"736","Nicole LaChapelle","Easthampton, MA","413-529-1470","nlachapelle@easthamptonma.gov"
"737","Thomas W. Bernard","North Adams, MA","413-662-3000","mayorbernard@northadams-ma.gov"
"738","J. R. Colby","Newbury, MA","","info@townofnewbury.org"
"739","Mike Duggan","Detroit, MI","313-224-3400","dugganm@detroitmi.gov"
"740","Rosalynn Bliss","Grand Rapids, MI","616-456-3168","rbliss@grand-rapids.mi.us"
"741","James R. Fouts","Warren, MI","586-574-4520","mayor@cityofwarren.org"
"742","Michael C. Taylor","Sterling Heights, MI","586-648-0008","mctaylor@sterling-heights.net"
"743","Christopher Taylor","Ann Arbor, MI","734-794-6161","ctaylor@a2gov.org"
"744","Andy Schor","Lansing, MI","517-483-4144","lansing.mayor@lansingmi.gov"
"745","Sheldon Neeley","Flint, MI","810-766-7346","mayor@cityofflint.com"
"746","John B. O'Reilly Jr.","Dearborn, MI","313-943-2030","mayor@ci.dearborn.mi.us"
"747","Maureen Miller Brosnan","Livonia, MI","734-466-2201","mayor@ci.livonia.mi.us"
"748","Ethan Baker","Troy, MI","248-716-4279","ethan.baker@troymi.gov"
"749","William R. Wild","Westland, MI","734-467-3200","mayorwild@cityofwestland.com"
"750","Vicki Barnett","Farmington Hills, MI","248-871-2500","vbarnett@fhgov.com"
"751","David Anderson","Kalamazoo, MI","269-337-8047","mayor@kalamazoocity.org"
"752","Jack Poll","Wyoming, MI","616-530-7227","pollj@wyomingmi.gov"
"753","Bryan K. Barnett","Rochester Hills, MI","248-656-4664","mayorsoffice@rochesterhills.org"
"754","Kenson J. Siver","Southfield, MI","248-796-5100","ksiver@cityofsouthfield.com"
"755","Rick Sollars","Taylor, MI","734-374-1449","rsollars@ci.taylor.mi.us"
"756","Bob Gatt","Novi, MI","248-347-0456","bgatt@cityofnovi.org"
"757","Deirdre Waterman","Pontiac, MI","248-758-3181","dwaterman@pontiac.mi.us"
"758","Michael Fournier","Royal Oak, MI","248-246-3463","ccfournier@romi.gov"
"759","Kip C. Walby","St. Clair Shores, MI","586-445-3983","walby@scsmi.net"
"760","Daniel S. Paletko","Dearborn Heights, MI","313-791-3490","dpaletko@ci.dearborn-heights.mi.us"
"761","Stephen Kepley","Kentwood, MI","616-554-0771","kepleys@ci.kentwood.mi.us"
"762","Mark Behnke","Battle Creek, MI","269-441-7663","markbehnke@aol.com"
"763","Patricia M. Randall","Portage, MI","269-324-7779","patricia.randall@portagemi.gov"
"764","Tracey Schultz Kobylarz","Redford Township, MI","313-387-2700","supervisor@redfordtwp.com"
"765","Floyd Kloc","Saginaw, MI","989-759-1401","fkloc@saginaw-mi.com"
"766","Mark S. Meadows","East Lansing, MI","517-319-6904","mmeadows@cityofeastlansing.com"
"767","Robert R. Taylor","Roseville, MI","586-445-5410","rtaylor@roseville-mi.gov"
"768","Maureen Donker","Midland, MI","989-839-0531","mdonker@midland-mi.org"
"769","Chris Barnett","Charter Township of Orion, MI","(248) 391-0304 ext. 1001","cbarnett@oriontownship.org"
"770","Steve Gawron","Muskegon, MI","231-724-6701","steve.gawron@shorelinecity.com"
"771","Thomas E. Karnes","Lincoln Park, MI","313-386-1800","mayorkarnes@gmail.com"
"772","Nathan Bocks","Holland, MI","616-801-3638","n.bocks@cityofholland.com"
"773","Kathleen L. Newsham","Bay City, MI","989-894-8189","knewsham@baycitymi.org"
"774","Derek Dobies","Jackson, MI","517-499-6647","ddobies@cityofjackson.org"
"775","Monique Owens","Eastpointe, MI","586-445-5016 x3","mayorowens@eastpointecity.org"
"776","Duane Parry","Michigan City, IN","219-873-1400","dparry@emichigancity.com"
"777","Andy Linko","Brownstown Township, MI","734-675-0071","andrew.linko@brownstown-mi.org"
"778","Brian Christian Hartwell","Madison Heights, MI","248-583-0826","brianhartwell@madison-heights.org"
"779","Joseph G. Kuspa","Southgate, MI","734-258-3022","mayorkuspa@ci.southgate.mi.us"
"780","Pauline Repp","Port Huron, MI","810-984-9740","reppp@porthuron.org"
"781","Duane Haskins","Burton, MI","810-743-1500","d.haskins@burtonmi.gov"
"782","Kevin McDaniel","Auburn Hills, MI","","kmcdaniel@auburnhills.org"
"783","David Coulter","Ferndale, MI","248-546-2384","dcoulter@ferndalemi.gov"
"784","Robert E. Novitke","Grosse Pointe Woods, MI","586-772-6441","mayornovitke@comcast.net"
"785","Stuart A. Bikson","Rochester, MI","248-651-9061","sbikson@rochestermi.org"
"786","Marcus Muhammad","Benton Harbor, MI","269-927-8400","mmuhammad@cityofbentonharbormi.gov"
"787","Hubert Yopp","Highland Park, MI","313-252-0050 x240","hyopp@highlandparkcity.org"
"788","Kerreen Conley","Belleville, MI","734-697-9323","kconley@belleville.mi.us"
"789","Kurt R Metzger","Pleasant Ridge, MI","",""
"790","Jacob Frey","Minneapolis, MN","612-673-2100",""
"791","Melvin Carter","St. Paul, MN","651-266-8510","melvin.carter@ci.stpaul.mn.us"
"792","Kim Norton","Rochester, MN","507-328-2700","knorton@rochestermn.gov"
"793","Emily Larson","Duluth, MN","218-730-5230","elarson@duluthmn.gov"
"794","Tim Busse","Bloomington, MN","952-888-1258","tbusse@bloomingtonmn.gov"
"795","Jeffrey Lunde","Brooklyn Park, MN","763-493-8010","jeffrey.lunde@brooklynpark.org"
"796","Jeffry Wosje","Plymouth, MN","763-509-5000","jwosje@plymouthmn.gov"
"797","Mark V. Steffenson","Maple Grove, MN","763-494-6000","msteffenson@ci.maple-grove.mn.us"
"798","Anne Burt","Woodbury, MN","651-714-3576","council@woodburymn.gov"
"799","Dave Kleis","St. Cloud, MN","320-255-7201","dave.kleis@ci.stcloud.mn.us"
"800","Mike Maguire","Eagan, MN","651-675-5048","citycouncil@cityofeagan.com"
"801","Douglas P. Anderson","Lakeville, MN","952-985-4410","danderson@lakevillemn.gov"
"802","Tom Ryan","Blaine, MN","763-784-6700","tryan@ci.blaine.mn.us"
"803","Ron Case","Eden Prairie, MN","952-949-8593","rcase@edenprairie.org"
"804","Jerry Koch","Coon Rapids, MN","763 767-1811","jkoch@coonrapidsmn.gov"
"805","Elizabeth B. Kautz","Burnsville, MN","952-895-4490","elizabeth.kautz@burnsvillemn.gov"
"806","Mary Hamann-Roland","Apple Valley, MN","952-953-2500","info@ci.apple-valley.mn.us"
"807","Brad Wiersum","Minnetonka, MN","952-939-8200","bwiersum@minnetonkamn.gov"
"808","James B. Hovland","Edina, MN","952-927-8861","jhovland@edinamn.gov"
"809","Jake Spano","St. Louis Park, MN","952-922-9114","mayorjakespano@gmail.com"
"810","Johnathan Judd","Moorhead, MN","218-299-5307",""
"811","Najwa Massad","Mankato, MN","507-387-8693","nmassad@mankatomn.gov"
"812","William P. Mars","Shakopee, MN","952-445-4228","wmars@shakopeemn.gov"
"813","Nora Slawik","Maplewood, MN","651-738-7099","nora.slawik@ci.maplewood.mn.us"
"814","Myron Bailey","Cottage Grove, MN","651-458-2800","myronbailey@aol.com"
"815","Dan Roe","Roseville, MN","651-490-2200","city.council@ci.roseville.mn.us"
"816","Maria Regan Gonzalez","Richfield, MN","612-861-9700","mregan@richfieldmn.gov"
"817","George Tourville","Inver Grove Heights, MN","651-455-4465","gtourville@ci.inver-grove-heights.mn.us"
"818","Julie Trude","Andover, MN","763-862-2499","cm.trude@andovermn.gov"
"819","Mike Elliott","Brooklyn Center, MN","612-460-1765","mayorelliott@ci.brooklyn-center.mn.us"
"820","Shep Harris","Golden Valley, MN","612-593-8000","sharris@goldenvalleymn.gov"
"821","Rhonda Pownell","Northfield, MN","","rhonda.pownell@ci.northfield.mn.us"
"822","Julie Maas-Kusske","Maple Plain, MN","(763) 479-6010","juliemaaskusske@mapleplain.com"
"823","Chokwe Antar Lumumba Esq.","Jackson, MS","601-960-1084","clumumba@jacksonms.gov"
"824","Billy Hewes","Gulfport, MS","228-868-5801","bhewes@gulfport-ms.gov"
"825","Darren Musselwhite","Southaven, MS","662-393-6939","dmusselwhite@southaven.org"
"826","Andrew 'FoFo' Gilich","Biloxi, MS","228-435-6254","mayor@biloxi.ms.us"
"827","Toby Barker","Hattiesburg, MS","601-545-4501","mayor@hattiesburgms.com"
"828","Jason L. Shelton","Tupelo, MS","662-841-6513","jason.shelton@tupeloms.gov"
"829","Scott Phillips","Olive Branch, MS","662-892-9201","sphillips@obms.us"
"830","Percy L. Bland III","Meridian, MS","601-485-1927","percybland@meridianms.org"
"831","Errick D. Simmons","Greenville, MS","662-378-1501","edsimmons@greenvillems.org"
"832","Henry Espy","Clarksdale, MS","601-621-8100","mayor@clarksdale.com"
"833","Darryl V. Grennell","Natchez, MS","601-445-7555","mayor@natchez.ms.us"
"834","Diane Delaware","Yazoo City, MS","668-746-1401","yazoocitymayor@yazoocityms.us"
"835","Quinton Lucas","Kansas City, MO","816-513-3500","quinton.lucas@kcmo.org"
"836","Lyda Krewson","St. Louis, MO","314-622-3201","krewsonl@stlouis-mo.gov"
"837","Ken McClure","Springfield, MO","417-864-1651","kmcclure@springfieldmo.gov"
"838","Brian Treece","Columbia, MO","573-874-7222","mayor@como.gov"
"839","Eileen Weir","Independence, MO","816-365-0880","eweir@indepmo.org"
"840","Bill Baird","Lee's Summit, MO","816-969-1010","wbaird@cityofls.net"
"841","Bill Hennessy","O'Fallon, MO","636-379-5500","bhennessy@ofallon.mo.us"
"842","Bill McMurray","St. Joseph, MO","816-271-4640","bmcmurray@ci.st-joseph.mo.us"
"843","Yolanda Ford","Missouri City, TX","281-403-8500","yolanda.ford@missouricitytx.gov"
"844","Dan Borgmeyer","St. Charles, MO","636-949-3268","dan.borgmeyer@stcharlescitymo.gov"
"845","Len Pagano","St. Peters, MO","636-477-6600","lpagano@stpetersmo.net"
"846","Carson Ross","Blue Springs, MO","816-228-0110","cross@bluespringsgov.com"
"847","Timothy J. Lowery","Florissant, MO","314-921-5700",""
"848","Gary Shaw","Joplin, MO","417-781-5982","gary@centralchristiancenter.org"
"849","Bob Nation","Chesterfield, MO","636-537-4711","bnation@chesterfield.mo.us"
"850","Carrie Tergin","Jefferson City, MO","573-634-6303",""
"851","Nick Guccione","Wentzville, MO","636-639-0354","mayor1@wentzvillemo.org"
"852","Bob Fox","Cape Girardeau, MO","573-334-0854","bfox@cityofcape.org"
"853","Jim Bowlin","Wildwood, MO","636-458-0440 x300","jbowlin@cityofwildwood.com"
"854","Terry Crow","University City, MO","314-505-8606","mayor@ucitymo.org"
"855","Tim Pogue","Ballwin, MO","636-207-2386","tpogue@ballwin.mo.us"
"856","Harold Sanger","Clayton, MO","","hsanger@claytonmo.gov"
"857","Bill Cole","Billings, MT","(406) 294-5700","coleb@billingsmt.gov"
"858","John Engen","Missoula, MT","406-552-6001","jengen@ci.missoula.mt.us"
"859","Bob Kelly","Great Falls, MT","406-455-8451","bkelly@greatfallsmt.net"
"860","Cynthia Andrus","Bozeman, MT","406-600-7140","candrus@bozeman.net"
"861","Dave Palmer","Butte, MT","406-497-6214","dpalmer@bsb.mt.gov"
"862","James 'Jim' E. Smith","Helena, MT","406-447-8000","jsmith@ci.helena.mt.us"
"863","Jean Stothert","Omaha, NE","402-444-5000","mayor.stothert@cityofomaha.org"
"864","Leirion Gaylor Baird","Lincoln, NE","402-441-7511","mayor@lincoln.ne.gov"
"865","Rusty Hike","Bellevue, NE","402-293-3020","rusty.hike@bellevue.net"
"866","Roger Steele","Grand Island, NE","308-385-5444","mayorsteele@grand-island.com"
"867","Stan Clouse","Kearney, NE","308-238-5210","mayor@kearneygov.org"
"868","Carolyn G. Goodman","Las Vegas, NV","702-229-6241","earochi@lasvegasnevada.gov"
"869","Debra March","Henderson, NV","702-267-2085","debra.march@cityofhenderson.com"
"870","Hillary Schieve","Reno, NV","775-334-2001","schieveh@reno.gov"
"871","John J. Lee","North Las Vegas, NV","702-633-1007","leej@cityofnorthlasvegas.com"
"872","Ron Smith","Sparks, NV","775-353-2311","rsmith@cityofsparks.us"
"873","Robert 'Bob' L. Crowell","Carson City, NV","775-887-2100","bcrowell@carson.org"
"874","Daniel J Corona","West Wendover, NV","",""
"875","Joyce Craig","Manchester, NH","603-624-6500","jcraig@manchesternh.gov"
"876","Jim Donchess","Nashua, NH","603-589-3260","nashuamayor@nashuanh.gov"
"877","Jim Bouley","Concord, NH","603-753-4533","cityclerk@concordnh.gov"
"878","Neil Wetherbee","Derry, NH","603-548-3935","neilwetherbee@derrynh.org"
"879","Robert Carrier","Dover, NH","603-516-6000","r.carrier@dover.nh.gov"
"880","Caroline McCarley","Rochester, NH","(603) 335-7500",""
"881","Ras J. Baraka","Newark, NJ","(973) 733-6400",""
"882","Steven M. Fulop","Jersey City, NJ","201-547-5200","fulops@jcnj.org"
"883","Andre Sayegh","Paterson, NJ","973-321-1600","mayorsayegh@patersonnj.gov"
"884","J. Christian Bollwage","Elizabeth, NJ","908-820-4170","webmaster@elizabethnj.org"
"885","Raymond G. Coles","Lakewood, NJ","732-364-2500","rcoles@lakewoodtwpnj.org"
"886","Thomas Lankey","Edison Township, NJ","732-248-7298","mayorlankey@edisonnj.org"
"887","John E. McCormac","Woodbridge Township, NJ","732-634-4500","wbmayor@twp.woodbridge.nj.us"
"888","Maurice 'Mo' B. Hill Jr.","Toms River, NJ","732-341-1000","mhill@tomsrivertownship.com"
"889","Jeff Martin","Hamilton Township, NJ","609-890-3507","jmartin@hamiltonnj.com"
"890","James Anzaldi","Clifton, NJ","973-470-5757","janzaldi@cliftonnj.org"
"891","W. Reed Gusciora Esq.","Trenton, NJ","609-989-3030","mayorsoffice@trentonnj.org"
"892","John G. Ducey","Brick Township, NJ","732-262-1050","mayor@twp.brick.nj.us"
"893","Francisco 'Frank' Moran","Camden, NJ","856-757-7200","mayor@ci.camden.nj.us"
"894","Susan Shin Angulo","Cherry Hill Township, NJ","856-488-7878","mayor@chtownship.com"
"895","Hector Lora","Passaic, NJ","973-365-5500","mayor@cityofpassaicnj.gov"
"896","Brian P. Stack","Union City, NJ","201-348-5757","senstack@njleg.org"
"897","Owen Henry","Old Bridge Township, NJ","732-607-7901","mayor@oldbridge.com"
"898","Phillip 'Phil' Kramer","Franklin Township, NJ","732-675-7912","mayor.kramer@franklinnj.gov"
"899","Anthony S. Perry","Middletown Township, NJ","732-615-2015","mayor@middletownnj.org"
"900","James 'Jimmy' M. Davis","Bayonne, NJ","201-858-6010","mayors.office@baynj.org"
"901","Theodore R. Green","East Orange, NJ","973-266-5151","mayor@eastorange-nj.gov"
"902","David R. Mayer","Gloucester Township, NJ","856-228-4000","mayor@glotwp.com"
"903","Nicholas J. Sacco","North Bergen, NJ","201-392-2005",""
"904","Anthony Fanucci","Vineland, NJ","856-794-4011","mayor@vinelandcity.org"
"905","Michele S. Delisfort","Union Township, NJ","908-851-8500","mdelisfort@uniontownship.com"
"906","Michael Reina","Jackson Township, NJ","732-928-1200, ext. 1211","mikereina@jacksontwpnj.net"
"907","Brian C. Wahler","Piscataway, NJ","732-562-2301","bwahler@piscatawaynj.org"
"908","James Cahill","New Brunswick, NJ","732-745-5004","jsmith@cityofnewbrunswick.org"
"909","Tony Vauss","Irvington Township, NJ","973-399-6639","mayortvauss@gmail.com"
"910","Christopher P. Vergano","Wayne Township, NJ","973-694-1800","mayor@waynetownship.com"
"911","Ravinder S. Bhalla","Hoboken, NJ","917-485-1126","rbhalla@hobokennj.gov"
"912","Gabriel Rodriguez","West New York, NJ","201-295-5227","grodriguez@westnewyorknj.org"
"913","Michael Soriano","Parsippany-Troy Hills, NJ","973-263-4262","msoriano@parsippany.net"
"914","Theresa Berger","Howell Township, NJ","732-938-4500","mayor-council@twp.howell.nj.us"
"915","Wilda Diaz","Perth Amboy, NJ","732-826-7121","w.diaz@perthamboynj.org"
"916","Adrian O. Mapp","Plainfield, NJ","908-753-3310","adrian.mapp@plainfieldnj.gov"
"917","Michael J. Venezia","Bloomfield, NJ","973-680-4080","michaeljosephvenezia@gmail.com"
"918","Brad J. Cohen","East Brunswick Township, NJ","732-390-6810","bcohen@eastbrunswick.org"
"919","Robert Parisi","West Orange Township, NJ","973-325-4100","mayor@westorange.org"
"920","Joann Gattinelli","Washington Township, NJ","856-589-0525","mayorgattinelli@twp.washington.nj.us"
"921","Charlie Carley","South Brunswick Township, NJ","732-329-4000 x7301","ccarley@sbtnj.net"
"922","Jaclyn Veasy","Evesham Township, NJ","856-983-2900","mayor.veasy@evesham-nj.gov"
"923","Gerald W. Tamburro","Monroe Township, NJ","732-521-4400","gtamburro@monroetwp.com"
"924","Matthew Moench","Bridgewater, NJ","908-725-6300 x5005","mmoench@bridgewaternj.gov"
"925","Victoria Kilpatrick","Sayreville, NJ","732-390-7007","mayor@sayreville.com"
"926","John P. Labrosse Jr.","Hackensack, NJ","201-646-3980","jlabrosse@hackensack.org"
"927","Kenneth Palmer","Manchester Township, NJ","732-657-8121","kpalmer@manchestertwp.com"
"928","Paul W. Hodson","Egg Harbor Township, NJ","609-926-4027","administration@ehtgov.org"
"929","Derek Armstead","Linden, NJ","908-474-8493","darmstead@linden-nj.org"
"930","Francis 'Mac' Womack III","North Brunswick, NJ","732-247-0922 x430","mayorwomack@northbrunswicknj.gov"
"931","Carmen F. Amato Jr.","Berkeley Township, NJ","732-244-7400 x 203","mayor@twp.berkeley.nj.us"
"932","Alberto G. Santos","Kearny, NJ","201-955-7979","mayor@kearnynj.org"
"933","Irwin Edelson","Mount Laurel Township, NJ","856-234-0001","iedelson@mountlaurel.com"
"934","Mohammed Hameeduddin","Teaneck Township, NJ","201-837-1600","m.hameed@teanecknj.gov"
"935","Jonathan Hornik","Marlboro Township, NJ","732-536-0200 x1200","lfranco@marlboro-nj.gov"
"936","Doug Tomson","Hillsborough Township, NJ","908-369-4313","mayor@hillsborough-nj.org"
"937","Jack McNaboe","Manalapan, NJ","732-446-3200","mayor@mtnj.org"
"938","Barry M. Wright","Winslow Township, NJ","609-567-0700 EXT 2016","mayorwright@winslowtownship.com"
"939","Robert D. Jackson","Montclair, NJ","973-509-4928","rjackson@montclairnjusa.org"
"940","Mark J. Sokolich","Fort Lee, NJ","201-592-3500","mayor@fortleenj.org"
"941","Frank M. Gilliam Jr.","Atlantic City, NJ","609-347-5400","fmgilliam@cityofatlanticcity.org"
"942","Michael Melham","Belleville, NJ","973-450-3345","michael@melhamforbelleville.com"
"943","Bert Steinmann","Ewing Township, NJ","609-883-2900","bsteinmann@ewingnj.org"
"944","Jim Gorman","Galloway Township, NJ","609-652-3700","jgorman@gtnj.org"
"945","Tim Killion","Pennsauken Township, NJ","856-665-1000","tkillion@twp.pennsauken.nj.us"
"946","Lester A. Preston Jr.","Freehold Township, NJ","732-294-2001","lpreston@twp.freehold.nj.us"
"947","Kurt Peluso","Fair Lawn Borough, NJ","201-794-5344","kpeluso@fairlawn.org"
"948","Jim Kownacki","Lawrence Township, NJ","609-844-7000","jkownacki@lawrencetwp.com"
"949","Tiffani A. Worthy","Willingboro Township, NJ","609-877-2200","tworthy@willingboronj.gov"
"950","Richard Rigoglioso","Garfield, NJ","973-340-2000","rrigoglioso@garfieldnj.org"
"951","Liz Lempert","Princeton, NJ","609-924-5176","llempert@princetonnj.gov"
"952","Dwayne D. Warren","Orange Township, NJ","973-266-4005","mayor@ci.orange.nj.us"
"953","Paul Medany","Deptford Township, NJ","856-845-5300","mayor@deptford-nj.org"
"954","John Pallone","Long Branch, NJ","732-571-5645","johnpallone@longbranch.org"
